,Positive Emotion,Assent,Positive sentiment calculated by VADER,Negative sentiment calculated by VADER,Negative Emotion,Anxiety,Anger,Sad,Dissent
Social,0.000866521748797539,0.0013150043298982385,0.02335799052291688,-0.005823516584895381,8.420112081674234e-05,0.0005337291582541271,0.00012641511344685375,0.07208347638027376,0.0002790529471723204
Family,0.006937771705336052,0.001547930725938501,0.04166364551863042,0.13205468277945573,0.0004269403196232389,0.0037991641636477215,0.0012790122607230863,0.07609558052374424,0.0005013046932124994
Friends,0.013386574335198765,0.0015278056384580825,0.0675277930654926,0.002672963676389758,0.0014724105338485608,0.0074660955842366684,0.0013855816603680151,0.10564833956366033,0.0005693734260936252
Humans,0.030390917497794302,0.0021321630208811426,0.09811374117811603,0.19984445880791177,0.0030028316186007805,0.016437570595308343,0.00397130992078883,0.11678117597654532,0.0012610785015704567
Feel,0.005092814712190371,0.001105939672655254,0.04045263788968812,0.008393322841726713,0.00043951573864649685,0.002964732995546395,0.0006210168811502929,0.07459171336952551,0.0002939871515760293
Body,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sexual,0.004123548409262695,0.0,0.0368,0.21269999999999997,0.0,0.002744107744107744,0.0013794406651549507,0.06004981790696077,0.014351851851851852
Work,0.0035423054840502915,0.0011366327689870106,0.03216275430359938,0.18371824030603442,0.0003007740565951665,0.0014395409965502115,0.001093744191530141,0.1029628079686416,0.00026789076304090315
Achievement,0.0034930887442194305,0.0009723884999746995,0.02806571498892445,0.13203320206743757,0.00035541577948561894,0.0016936574857133225,0.0005207368752895736,0.07978950471049948,0.00026504116586870005
Home,0.004273572324833025,0.0014653761197705435,0.04284619188921861,0.15741716122650723,0.0004000269203459902,0.001716263899632235,0.0008422940068123034,0.09768822455298624,0.0003157065596445737
Death,0.0007858467528192039,0.007248536646259356,0.039996138996139005,0.17302586872586884,7.60939585894159e-05,0.0002136117267367891,3.314166404295159e-05,0.06920788552676752,0.007746982746982747
Money,0.0065283323218824005,0.002215327747832962,0.048551952837140755,0.0064711864406779476,0.0005530423010503566,0.003875069274217441,0.0006365272503692035,0.09856244923855947,0.0006922090389822085
Religion,0.0060785288509222395,0.0004384896668466065,0.18051134020618576,-0.3046251546391752,0.0002902595439436164,0.004908447374691691,0.000480639641196238,0.07496749012807541,0.0008167004145249153
